"v"		Depsky
"Client Index"	17.094984071000003	1.2688935127299328
"Cloud Time"	4.472917900400001	1.5241863904007116
"Encryption Symmetric"	0.11763413520000002	0.013328817510244416
"Feature Extraction"	6.3107218324000005	0.43722307435415325
"Total Time"	28.7963971006	0.323170169822884
