"v"		"Add 40% Search 60%"		"Add 50% Search 50%"		"Add 60% Search 40%"
"1"	2.5567810704838885	0.1980670408055333	2.958223537550361	0.1166166115633427	3.253031906699774	0.23876180141941303
"2"	2.7697448071984754	0.061395352106343705	3.1039892926899513	0.21417053362906732	3.608731864738323	0.1799675393579071
"3"	2.9925569081854233	0.08306386871447186	3.0843585582214983	0.04475093387003084	3.05705578457398	0.07447167381600174
"4"	2.786019074151585	0.07580156302978876	2.861404072837375	0.07157845554971028	2.9944304261534342	0.08581232346295811
"5"	2.8962040658179866	0.014936557494062981	2.8765759198279777	0.04672953731229358	2.8493271360021897	0.05115517402355449
