# Problem reading extra input file output2/depsky_client2.dat
"v"		Ramcloud
"Client Index"	19.0901768576	0.27983760663482815
"Cloud Time"	2.8517726046	0.06208743231150923
"Encryption Symmetric"	0.1327218728	0.010711657071678564
"Feature Extraction"	7.705445877200001	0.04411559270776264
"Total Time"	31.239804553	1.3049938445412805
